date,name,avg,stderr
2022-02-23,GPP,-0.014287941398828575,0.08773224994987862
2022-02-23,NPP,-0.5617905950001976,0.07779871520535882
2022-02-23,R,-0.547502653601369,0.011828099141239341
2022-03-09,GPP,0.17232199007347931,5.563466863893057e-4
2022-03-09,NPP,-0.6411990205648184,0.07289040583320777
2022-03-09,R,-0.8135210106382977,0.07344675251959709
2022-04-06,GPP,0.21022760216464337,0.010672797086616241
2022-04-06,NPP,-0.10090471271876102,0.07920773514293154
2022-04-06,R,-0.31113231488340437,0.08447698425701423
2022-06-13,GPP,0.36030855469933903,NA
2022-06-13,NPP,-0.03184846657725654,NA
2022-06-13,R,-0.3921570212765956,NA
2022-06-23,GPP,0.1119174380993236,NA
2022-06-23,NPP,-1.0467632242470526,NA
2022-06-23,R,-1.1586806623463761,NA
2022-06-27,GPP,0.3764746974349014,NA
2022-06-27,NPP,-1.1131355860011083,NA
2022-06-27,R,-1.4896102834360097,NA
2022-07-05,GPP,0.39468255039891037,NA
2022-07-05,NPP,-1.0618349868851635,NA
2022-07-05,R,-1.456517537284074,NA
2022-07-06,GPP,0.17150729346329993,NA
2022-07-06,NPP,-0.3517110358441712,NA
2022-07-06,R,-0.5232183293074711,NA
2022-07-11,GPP,0.8580043300763354,NA
2022-07-11,NPP,-0.21925834680135714,NA
2022-07-11,R,-1.0772626768776925,NA
2022-07-12,GPP,0.798380242232194,NA
2022-07-12,NPP,-0.5331700061297673,NA
2022-07-12,R,-1.3315502483619612,NA
2022-07-13,GPP,0.9618260730862856,NA
2022-07-13,NPP,-0.8033034763088732,NA
2022-07-13,R,-1.7651295493951589,NA
2022-07-14,GPP,0.5631394387755099,NA
2022-07-14,NPP,-0.37739729591836746,NA
2022-07-14,R,-0.9405367346938773,NA
2022-07-18,GPP,0.790442875714789,NA
2022-07-18,NPP,-0.5073447487940661,NA
2022-07-18,R,-1.297787624508855,NA
2022-07-19,GPP,0.9662335373002587,NA
2022-07-19,NPP,-0.308065534287569,NA
2022-07-19,R,-1.2742990715878277,NA
2022-07-25,GPP,2.724697391735221,0.014828704170867457
2022-07-25,NPP,1.0843900249536698,0.2201277063090313
2022-07-25,R,-1.6403073667815513,0.2349564104798988
2022-07-26,GPP,0.835829053067625,0.16195718866567907
2022-07-26,NPP,-0.782933427257165,0.19109470076815013
2022-07-26,R,-1.61876248032479,0.029137512102471064
2022-08-02,GPP,2.696582774145999,0.13838973599048
2022-08-02,NPP,-0.02092980249007888,0.2110381340281824
2022-08-02,R,-2.717512576636078,0.07802670239313615
2022-08-08,GPP,3.0010452487386425,0.3029568333783453
2022-08-08,NPP,1.6384078142081542,0.06409980218365639
2022-08-08,R,-1.3626374345304884,0.24355343357687842
2022-08-10,GPP,2.7480389066711957,0.2778039532713995
2022-08-10,NPP,0.1887384010270273,0.313829428421676
2022-08-10,R,-2.5593005056441682,0.5846061289370881
2022-08-16,GPP,2.2449360567020014,0.03435506040059788
2022-08-16,NPP,0.6557971607794378,0.012338893203465736
2022-08-16,R,-1.5891388959225636,0.04650018320330568
2022-09-09,GPP,1.440580727061469,0.23524878596623075
2022-09-09,NPP,-0.1686342057149507,0.32180205134693907
2022-09-09,R,-1.6092149327764198,0.5467444528214626
2022-09-16,GPP,1.5242750863367973,0.1602756591923225
2022-09-16,NPP,1.0213704881866423,0.071227084286904635
2022-09-16,R,-0.502904598150155,0.22293337853326453
2022-10-06,GPP,0.9372867704780719,0.23342664736493624
2022-10-06,NPP,1.1538506304215275,0.11549703060745937
2022-10-06,R,0.21656385994345573,0.3425223827533717
2022-10-14,GPP,1.1040952998036941,0.15383621031949749
2022-10-14,NPP,0.4352229898220305,0.25785674985083273
2022-10-14,R,-0.6688723099816636,0.4089725781987229
2022-10-19,GPP,0.4734113117337764,0.07693763542046654
2022-10-19,NPP,0.04337777482793601,0.03337267212302147
2022-10-19,R,-0.4300335369058404,0.071363201235379
2022-10-28,GPP,0.45417609869394304,0.06656106463226785
2022-10-28,NPP,0.1777635795017366,0.0982805341707929
2022-10-28,R,-0.27641251919220644,0.034377098886022944
2022-11-04,GPP,0.4467174183414186,0.17864916194558214
2022-11-04,NPP,8.637465648962025e-4,0.09166623557414762
2022-11-04,R,-0.4458536717765224,0.09261744303928539
2022-11-11,GPP,0.24433040070975856,0.11810582323741929
2022-11-11,NPP,0.004129554283434918,0.1840846103344008
2022-11-11,R,-0.2402008464263236,0.30218902906416845
