initial_date,initial_datetime,final_datetime,replicate,npp_g_o2_m2_h,gpp_g_o2_m2_h,r_g_o2_m2_h,date,daylight_h,npp_g_c_m2_h,gpp_g_c_m2_h,r_g_c_m2_h,npp_g_o2_m2_d,gpp_g_o2_m2_d,r_g_o2_m2_d,npp_g_c_m2_d,gpp_g_c_m2_d,r_g_c_m2_d
2022-06-13,2022-06-13T12:30:00Z,2022-06-14T12:00:00Z,a,0.04086321513002362,0.08443621749408979,-0.04357300236406618,2022-06-13,14.793055555555556,0.015323705673758858,0.024356601200218205,-0.016339875886524816,0.6044918115970578,1.2490696562910422,-1.0457520567375882,0.22668442934889665,0.36030855469933903,-0.3921570212765956
2022-06-23,2022-06-23T15:55:00Z,2022-06-24T16:20:00Z,a,-0.10256523137336881,0.02617706444289519,-0.128742295816264,2022-06-23,14.821388888888889,-0.038461961765013306,0.007551076281604381,-0.048278360931099,-1.5201591806635666,0.38798045207765514,-3.089815099590336,-0.5700596927488375,0.1119174380993236,-1.1586806623463761
2022-06-27,2022-06-27T11:20:00Z,2022-06-28T12:20:00Z,a,-0.07737034912853363,0.08814190458657856,-0.1655122537151122,2022-06-27,14.806944444444444,-0.029013880923200112,0.025425549399974583,-0.06206709514316707,-1.145618461193468,1.3051122844409915,-3.9722940891626926,-0.42960692294755054,0.3764746974349014,-1.4896102834360097
2022-07-05,2022-07-05T14:15:00Z,2022-07-06T14:50:00Z,a,-0.06897580245098575,0.0928594794694669,-0.16183528192045266,2022-07-05,14.734444444444444,-0.025865925919119657,0.026786388308500064,-0.060688230720169746,-1.0163201292250243,1.3682328413828895,-3.8840467660908637,-0.3811200484593842,0.39468255039891037,-1.456517537284074
2022-07-06,2022-07-06T15:35:00Z,2022-07-07T14:00:00Z,a,-0.017747970213220027,0.040387399709832315,-0.05813536992305235,2022-07-06,14.721388888888889,-0.00665548882995751,0.011650211454759321,-0.02180076372114463,-0.2612747714972283,0.5945586173394398,-1.3952488781532564,-0.0979780393114606,0.17150729346329993,-0.5232183293074711
2022-07-11,2022-07-11T12:00:00Z,2022-07-12T12:00:00Z,a,0.08341676370496601,0.20311261669137626,-0.11969585298641028,2022-07-11,14.644166666666667,0.031281286389362256,0.05859017789174315,-0.044885944869903854,1.221568990489473,2.974415010931296,-2.8727004716738467,0.45808837143355247,0.8580043300763354,-1.0772626768776925
2022-07-12,2022-07-12T12:30:00Z,2022-07-13T12:30:00Z,a,0.04128128290405141,0.1892313104998249,-0.14795002759577347,2022-07-12,14.626111111111111,0.015480481089019279,0.054585954951872566,-0.05548126034841505,0.6037846305638676,2.7677181730716054,-3.5508006622985633,0.22641923646145032,0.798380242232194,-1.3315502483619612
2022-07-13,2022-07-13T12:50:00Z,2022-07-14T11:00:00Z,a,0.03213168991966692,0.2282571954080179,-0.196125505488351,2022-07-13,14.607777777777779,0.012049383719875094,0.06584342175231285,-0.07354706455813162,0.46937258597095666,3.334330386699124,-4.707012131720424,0.17601471973910873,0.9618260730862856,-1.7651295493951589
2022-07-14,2022-07-14T11:30:00Z,2022-07-15T12:00:00Z,a,0.029316326530612197,0.13382040816326524,-0.10450408163265303,2022-07-14,14.588333333333333,0.010993622448979574,0.03860204081632651,-0.039189030612244886,0.42767634353741424,1.9522167210884342,-2.5080979591836727,0.16037862882653034,0.5631394387755099,-0.9405367346938773
2022-07-18,2022-07-18T11:00:00Z,2022-07-19T11:25:00Z,a,0.04473376907369657,0.18893239401912487,-0.14419862494542834,2022-07-18,14.50361111111111,0.016775163402636212,0.054499729043978325,-0.05407448435453563,0.6488011901791442,2.740201969144602,-3.4607669986902803,0.24330044631717904,0.790442875714789,-1.297787624508855
