sample_date,mg_l_tss
2022-05-25,3.2
2022-05-31,4
2022-06-01,5.5
2022-06-02,6
2022-06-06,4.5
2022-06-07,4.5
2022-06-08,4.5
2022-06-09,2.5
2022-06-13,2.5
2022-06-14,6.5
2022-06-15,6
2022-06-21,5.5
2022-06-22,5.5
2022-06-23,8
2022-06-27,6.5
2022-06-28,16
2022-06-29,6.5
2022-07-05,5.5
2022-07-06,8
2022-07-11,4
2022-07-13,4.5
2022-07-19,7.5
2022-07-21,5
2022-07-26,39
2022-07-28,7
2022-08-02,6
2022-08-08,3
2022-08-10,3
2022-08-15,NA
