initial_date,final_date,initial_time,final_time,sample_location,bottle_id,replicate,depth,depth_m,treatment,initial_do_mg_l,final_do_mg_l,do_difference_mg_l,notes
2022-07-14,2022-07-15,11:30,12:00,SMCM_dock,44,a,surface,0.3,light,7.98,7.92,-0.06,
2022-07-14,2022-07-15,11:30,12:00,SMCM_dock,324,a,surface,0.3,dark,8.36,6.67,-1.69,
2022-07-14,2022-07-15,11:30,12:00,SMCM_dock,35,a,middle,1.7,light,7.79,8.7,0.91,
2022-07-14,2022-07-15,11:30,12:00,SMCM_dock,312,a,middle,1.7,dark,7.76,6.42,-1.34,
2022-07-14,2022-07-15,11:30,12:00,SMCM_dock,43,a,bottom,3.4,light,5.14,4.7,-0.44,
2022-07-14,2022-07-15,11:30,12:00,SMCM_dock,321,a,bottom,3.4,dark,5.54,,,
2022-07-18,2022-07-19,11:00,11:25,SMCM_dock,44,a,surface,0.3,light,7.84,8.35,0.51,
2022-07-18,2022-07-19,11:00,11:25,SMCM_dock,324,a,surface,0.3,dark,8.07,7.19,-0.88,
2022-07-18,2022-07-19,11:00,11:25,SMCM_dock,32,a,middle,1.65,light,7.77,8.26,0.49,
2022-07-18,2022-07-19,11:00,11:25,SMCM_dock,312,a,middle,1.65,dark,8.09,6.94,-1.15,
2022-07-18,2022-07-19,11:00,11:25,SMCM_dock,43,a,bottom,3.3,light,7.48,7.32,-0.16,
2022-07-18,2022-07-19,11:00,11:25,SMCM_dock,321,a,bottom,3.3,dark,7.2,6.1,-1.1,
2022-07-19,2022-07-20,12:00,14:45,SMCM_dock,44,a,surface,0.3,light,7.4,9.91,2.51,
2022-07-19,2022-07-20,12:00,14:45,SMCM_dock,324,a,surface,0.3,dark,7.42,6.56,-0.86,
2022-07-19,2022-07-20,12:00,14:45,SMCM_dock,32,a,middle,1.75,light,7.67,8.11,0.44,
2022-07-19,2022-07-20,12:00,14:45,SMCM_dock,312,a,middle,1.75,dark,7.8,6.66,-1.14,
2022-07-19,2022-07-20,12:00,14:45,SMCM_dock,43,a,bottom,3.5,light,7.67,7.04,-0.63,
2022-07-19,2022-07-20,12:00,14:45,SMCM_dock,321,a,bottom,3.5,dark,7.73,6.53,-1.2,
2022-07-25,2022-07-25,11:30,15:30,SMCM_dock,44,a,surface,0.3,light,6.93,7.65,0.72,
2022-07-25,2022-07-25,11:30,15:30,SMCM_dock,324,a,surface,0.3,dark,7.07,6.83,-0.24,
2022-07-25,2022-07-25,11:30,15:30,SMCM_dock,43,a,middle,1.9,light,7.1,7.74,0.64,
2022-07-25,2022-07-25,11:30,15:30,SMCM_dock,321,a,middle,1.9,dark,7.25,7.01,-0.24,
2022-07-25,2022-07-25,11:30,15:30,SMCM_dock,32,a,bottom,3.8,light,7.01,7.12,0.11,
2022-07-25,2022-07-25,11:30,15:30,SMCM_dock,312,a,bottom,3.8,dark,6.77,6.83,0.06,
2022-07-25,2022-07-25,11:30,15:30,SMCM_dock,9,b,surface,0.3,light,6.93,7.82,0.89,
2022-07-25,2022-07-25,11:30,15:30,SMCM_dock,13,b,surface,0.3,dark,6.99,6.8,-0.19,
2022-07-25,2022-07-25,11:30,15:30,SMCM_dock,8,b,middle,1.9,light,7.12,7.52,0.4,
2022-07-25,2022-07-25,11:30,15:30,SMCM_dock,22,b,middle,1.9,dark,7.15,6.83,-0.32,
2022-07-25,2022-07-25,11:30,15:30,SMCM_dock,1,b,bottom,3.8,light,7,7.23,0.23,
2022-07-25,2022-07-25,11:30,15:30,SMCM_dock,54,b,bottom,3.8,dark,6.95,6.9,-0.05,
2022-07-26,2022-07-26,10:30,14:30,SMCM_dock,44,a,surface,0.3,light,6.71,7.03,0.32,phytoplankton bloom
2022-07-26,2022-07-26,10:30,14:30,SMCM_dock,324,a,surface,0.3,dark,6.8,6.51,-0.29,phytoplankton bloom
2022-07-26,2022-07-26,10:30,14:30,SMCM_dock,43,a,middle,1.75,light,5.8,5.8,0,phytoplankton bloom
2022-07-26,2022-07-26,10:30,14:30,SMCM_dock,321,a,middle,1.75,dark,5.81,5.65,-0.16,phytoplankton bloom
2022-07-26,2022-07-26,10:30,14:30,SMCM_dock,32,a,bottom,3.5,light,5.63,5.61,-0.02,phytoplankton bloom
2022-07-26,2022-07-26,10:30,14:30,SMCM_dock,312,a,bottom,3.5,dark,5.7,5.5,-0.2,phytoplankton bloom
2022-07-26,2022-07-26,10:30,14:30,SMCM_dock,9,b,surface,0.3,light,6.75,6.9,0.15,phytoplankton bloom
2022-07-26,2022-07-26,10:30,14:30,SMCM_dock,13,b,surface,0.3,dark,6.76,6.44,-0.32,phytoplankton bloom
2022-07-26,2022-07-26,10:30,14:30,SMCM_dock,8,b,middle,1.75,light,5.9,5.81,-0.09,phytoplankton bloom
2022-07-26,2022-07-26,10:30,14:30,SMCM_dock,22,b,middle,1.75,dark,5.89,5.69,-0.2,phytoplankton bloom
2022-07-26,2022-07-26,10:30,14:30,SMCM_dock,1,b,bottom,3.5,light,5.62,5.56,-0.06,phytoplankton bloom
2022-07-26,2022-07-26,10:30,14:30,SMCM_dock,54,b,bottom,3.5,dark,5.58,5.46,-0.12,phytoplankton bloom
2022-08-02,2022-08-02,12:00,16:00,SMCM_dock,44,a,surface,0.3,light,8.48,8.63,0.15,
2022-08-02,2022-08-02,12:00,16:00,SMCM_dock,324,a,surface,0.3,dark,8.72,8.24,-0.48,
2022-08-02,2022-08-02,12:00,16:00,SMCM_dock,8,a,middle,1.8,light,8.77,9.19,0.42,
2022-08-02,2022-08-02,12:00,16:00,SMCM_dock,22,a,middle,1.8,dark,8.93,8.56,-0.37,
2022-08-02,2022-08-02,12:00,16:00,SMCM_dock,6,a,bottom,3.6,light,5.73,6.06,0.33,
2022-08-02,2022-08-02,12:00,16:00,SMCM_dock,47,a,bottom,3.6,dark,5.62,5.42,-0.2,
2022-08-02,2022-08-02,12:00,16:00,SMCM_dock,9,b,surface,0.3,light,8.49,9.15,0.66,
2022-08-02,2022-08-02,12:00,16:00,SMCM_dock,13,b,surface,0.3,dark,8.63,8.24,-0.39,
2022-08-02,2022-08-02,12:00,16:00,SMCM_dock,43,b,middle,1.8,light,8.79,9.08,0.29,
2022-08-02,2022-08-02,12:00,16:00,SMCM_dock,321,b,middle,1.8,dark,8.84,8.5,-0.34,
2022-08-02,2022-08-02,12:00,16:00,SMCM_dock,57,b,bottom,3.6,light,5.49,5.8,0.31,
2022-08-02,2022-08-02,12:00,16:00,SMCM_dock,16,b,bottom,3.6,dark,5.12,4.86,-0.26,
2022-08-02,2022-08-02,12:00,16:00,SMCM_dock,24,c,surface,0.3,light,8.52,9.16,0.64,
2022-08-02,2022-08-02,12:00,16:00,SMCM_dock,28,c,surface,0.3,dark,8.63,8.03,-0.6,
2022-08-02,2022-08-02,12:00,16:00,SMCM_dock,32,c,middle,1.8,light,8.79,9.18,0.39,
2022-08-02,2022-08-02,12:00,16:00,SMCM_dock,312,c,middle,1.8,dark,8.84,8.49,-0.35,
2022-08-02,2022-08-02,12:00,16:00,SMCM_dock,1,c,bottom,3.6,light,6.73,7.27,0.54,
2022-08-02,2022-08-02,12:00,16:00,SMCM_dock,54,c,bottom,3.6,dark,5.27,5.28,0.01,
2022-08-08,2022-08-08,11:00,15:00,SMCM_dock,24,a,surface,0.3,light,6.55,7.53,0.98,
2022-08-08,2022-08-08,11:00,15:00,SMCM_dock,28,a,surface,0.3,dark,6.57,6.4,-0.17,
2022-08-08,2022-08-08,11:00,15:00,SMCM_dock,1,a,middle,1.85,light,5.95,6.74,0.79,
2022-08-08,2022-08-08,11:00,15:00,SMCM_dock,54,a,middle,1.85,dark,5.93,5.67,-0.26,
2022-08-08,2022-08-08,11:00,15:00,SMCM_dock,8,a,bottom,3.7,light,5.57,6.01,0.44,
2022-08-08,2022-08-08,11:00,15:00,SMCM_dock,22,a,bottom,3.7,dark,5.4,5.2,-0.2,
2022-08-08,2022-08-08,11:00,15:00,SMCM_dock,9,b,surface,0.3,light,6.55,7.38,0.83,
2022-08-08,2022-08-08,11:00,15:00,SMCM_dock,13,b,surface,0.3,dark,6.53,6.33,-0.2,
2022-08-08,2022-08-08,11:00,15:00,SMCM_dock,16,b,middle,1.85,light,5.93,6.59,0.66,
2022-08-08,2022-08-08,11:00,15:00,SMCM_dock,57,b,middle,1.85,dark,5.92,5.88,-0.04,
2022-08-08,2022-08-08,11:00,15:00,SMCM_dock,43,b,bottom,3.7,light,5.43,5.58,0.15,
2022-08-08,2022-08-08,11:00,15:00,SMCM_dock,321,b,bottom,3.7,dark,5.42,5.18,-0.24,
2022-08-08,2022-08-08,11:00,15:00,SMCM_dock,44,c,surface,0.3,light,6.56,7.4,0.84,
2022-08-08,2022-08-08,11:00,15:00,SMCM_dock,324,c,surface,0.3,dark,6.54,6.3,-0.24,
2022-08-08,2022-08-08,11:00,15:00,SMCM_dock,6,c,middle,1.85,light,5.91,6.68,0.77,
2022-08-08,2022-08-08,11:00,15:00,SMCM_dock,47,c,middle,1.85,dark,5.84,5.67,-0.17,
2022-08-08,2022-08-08,11:00,15:00,SMCM_dock,32,c,bottom,3.7,light,5.52,5.61,0.09,
2022-08-08,2022-08-08,11:00,15:00,SMCM_dock,312,c,bottom,3.7,dark,5.35,5.37,0.02,
2022-08-10,2022-08-10,10:30,14:30,SMCM_dock,44,a,surface,0.3,light,7.9,8.21,0.31,
2022-08-10,2022-08-10,10:30,14:30,SMCM_dock,321,a,surface,0.3,dark,7.86,7.49,-0.37,
2022-08-10,2022-08-10,10:30,14:30,SMCM_dock,6,a,middle,1.85,light,6.6,7.22,0.62,
2022-08-10,2022-08-10,10:30,14:30,SMCM_dock,47,a,middle,1.85,dark,6.75,6.15,-0.6,
2022-08-10,2022-08-10,10:30,14:30,SMCM_dock,8,a,bottom,3.7,light,4.11,4.36,0.25,
